Timestamp,Country of Residence,Please indicate where you work,How long have you worked at your current employer,Monetary policy can remain in central banks in case cash is no longer used,Modern and innovative solution to store value that is user friendly for the digital world,Shows adaptability of the central bank as a monetary anchor and therefore increases trust in the local currency,"Privacy would be ensured, since the central bank is not incentivized to monetize users data",Reduces friction adn expensive fee structures currently seen in the market,Eases money transformation by tracking technology which allows legal cases to be solved more accurately,Lessen the risk of money laundering,traditional banks are worried that they will be cut off from the intermediation process,Cutting off traditional banks from the supply of digital currency means that there is no multiplier effect in the economy,"Difficult to design properly so as to make it good enough to be used as a means of payment, but not so good in order to make it attractive as a store of value, which could cause bank runs","Banks will want to monetize the data generated with CBDC, potentially jeopardizing data privacy",CBDCs require direct integration with users and therefore means that is directly competing against other digital currencies,"CBDCs could be vulnerable to cyberattacks, meaning people would trust the CBDC les",CBDCs could be used as a surveillance method by rogue governments,"Credit card companies like visa, mastercard will lose up to 40% of customer transaction information if CBDC replaces credit card",It will require strict auditing and protection system as the system relies on people for technical capabilities where an employee can easily transfer money to their own account
2/19/2022 8:18:20,Spain,Other,1,6,3,6,16,4,4,3,8,9,8,15,13,13,12,7,13
2/19/2022 8:27:24,Spain ,Other,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1
2/19/2022 8:30:48,Spain,Other,2,1,1,1,1,16,1,1,16,16,16,16,16,16,16,1,1
2/19/2022 9:31:13,United Arab Emirates,Other,1,8,1,1,1,2,3,2,1,3,2,1,3,2,2,2,2
2/19/2022 10:15:32,Spain,Other,0,7,5,13,11,11,13,12,4,6,3,2,10,11,8,10,7
2/19/2022 10:32:38,Spain,Other,17,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2
2/19/2022 10:56:04,United Arab Emirates,Other,7,4,1,1,1,3,2,6,4,4,4,3,3,5,5,2,4
2/19/2022 11:26:56,Spain,Other,7,7,3,9,1,8,7,7,2,8,3,9,14,4,9,9,1
2/19/2022 11:32:56,Spain,Other,3,5,3,1,6,2,3,4,10,14,13,10,15,16,8,15,13
2/19/2022 12:03:21,Saudi Arabia,Other,15,3,2,3,7,2,2,1,4,5,4,3,4,8,9,3,5
2/19/2022 12:14:09,Spain,Other,2,9,9,9,7,9,7,7,9,9,6,5,9,7,9,9,7
2/19/2022 12:31:54,Dominican Republic,Other,2,1,1,9,3,1,1,1,1,1,6,8,8,8,8,2,3
2/19/2022 12:32:11,France,Other,1,11,2,3,4,3,5,4,13,14,8,16,11,15,16,13,9
2/19/2022 12:51:09,Spain,Other,13,1,3,1,1,3,1,1,1,9,3,1,1,4,7,4,1
2/19/2022 14:30:16,Saudi Arabia,Other,15,3,7,4,11,8,4,5,2,9,4,3,1,11,1,4,1
2/19/2022 14:55:29,Switzerland,Other,1,14,4,5,7,7,3,7,3,4,8,8,4,7,11,12,8
2/19/2022 15:25:06,Spain,Other,2,5,4,3,2,6,7,8,9,10,8,3,5,2,3,9,1
2/19/2022 16:12:13,Spain,Other,0,16,1,9,11,2,1,1,1,14,15,3,2,15,3,2,4
2/19/2022 16:25:29,Spain,Other,1,10,6,5,3,7,5,3,3,3,5,3,10,6,8,5,1
2/19/2022 16:56:49,Canada,Other,2,6,3,2,1,4,8,7,9,10,15,16,12,13,14,11,10
2/19/2022 18:35:23,Brasil,Bank,25,1,3,3,5,5,9,12,11,11,11,7,7,10,10,12,1
2/19/2022 18:44:18,Canada,Bank,0,4,3,5,1,8,10,9,9,9,7,3,2,9,8,3,4
2/19/2022 19:26:10,Switzerland ,Other,1,2,3,2,5,5,6,7,3,4,8,8,8,7,7,6,7
2/20/2022 2:01:45,Spain,Other,3,6,8,8,7,9,11,10,8,13,11,8,7,6,4,6,3
2/20/2022 3:08:42,Ecuador,Other,1,7,9,8,9,9,9,9,9,6,8,9,8,8,6,7,7
2/20/2022 10:48:16,spain,Fintech/Digital Bank,3,1,1,3,3,1,1,1,16,13,5,12,2,4,16,1,4
2/20/2022 11:50:24,Spain,Other,2,13,8,4,15,6,4,13,4,6,11,4,6,3,6,4,5
2/20/2022 11:51:41,USA,Other,2,16,7,7,16,3,3,1,1,1,8,16,5,16,16,6,16
2/20/2022 12:09:40,Spain,Other,5,1,3,3,7,7,3,3,7,7,5,4,3,8,9,2,7
2/20/2022 13:44:19,Spain,Other,1,16,10,11,6,6,7,16,15,16,10,13,13,11,16,12,12
2/20/2022 13:45:05,Spain,Other,4,16,15,13,15,14,16,15,14,15,15,16,12,10,14,14,15
2/20/2022 17:29:44,Spain,Other,0,1,2,3,4,9,7,15,8,9,10,12,13,8,11,16,4
2/20/2022 17:54:04,spain,Other,3,16,15,15,13,8,4,3,4,2,8,7,9,6,5,3,4
2/20/2022 21:08:02,spain,Other,0,5,1,3,1,1,3,3,2,4,7,8,5,7,9,7,6
2/20/2022 22:06:44,Spain,Fintech/Digital Bank,6,2,3,3,6,4,3,2,13,11,12,4,9,6,5,14,2
2/21/2022 9:05:31,Spain,Fintech / Digital Bank,1,5,2,2,1,14,6,1,1,14,7,1,3,4,1,1,1
2/21/2022 10:08:20,Africa,Fintech / Digital Bank,6,2,1,2,2,2,1,2,3,4,3,14,14,12,14,14,12
2/21/2022 10:11:19,Spain,Bank / Bank Consultants,4,3,3,8,8,8,8,9,9,9,8,8,9,1,1,1,1
2/21/2022 10:42:46,Switzerland,Bank / Bank Consultants,1,14,14,14,14,5,5,5,10,5,8,11,6,13,4,8,8
2/21/2022 14:17:54,Germany,Fintech / Digital Bank,1,3,1,6,1,3,1,9,1,9,3,1,9,1,1,1,1
2/22/2022 10:16:41,Egypt,Bank / Bank Consultants,3,1,2,1,4,2,1,1,4,5,4,2,5,3,2,2,1
2/22/2022 10:52:39,Egypt,Bank / Bank Consultants,12,2,1,1,2,3,3,1,2,1,1,1,2,3,1,1,2
2/22/2022 10:59:35,Egypt,Bank / Bank Consultants,1,8,2,2,13,2,16,5,1,16,13,8,15,16,16,7,16
2/22/2022 11:01:00,Egypt,Bank / Bank Consultants,8,3,11,1,2,3,11,11,15,4,12,7,4,1,2,1,1
2/22/2022 11:02:12,Spain,Other,3,8,3,2,5,2,3,1,1,8,3,6,2,5,8,1,3
2/22/2022 11:03:09,Egypt,Bank / Bank Consultants,3,1,1,3,4,4,2,4,3,6,2,3,1,7,3,2,1
2/22/2022 11:03:11,Egypt,Bank / Bank Consultants,7,1,1,3,1,1,1,1,6,3,1,1,1,1,4,11,1
2/22/2022 11:03:11,Egypt,Bank / Bank Consultants,13,1,3,1,9,4,2,3,3,9,7,3,2,1,3,2,1
2/22/2022 11:05:02,Egypt,Bank / Bank Consultants,4,2,1,2,2,2,2,3,1,1,1,1,2,2,2,2,2
2/22/2022 11:05:03,Egypt,Bank / Bank Consultants,3,1,1,1,2,2,1,4,7,9,3,1,2,3,1,2,2
2/22/2022 11:05:21,Egypt,Central Bank,14,1,4,1,1,3,3,4,2,4,1,1,3,2,1,8,1
2/22/2022 11:06:04,Egypt,Bank / Bank Consultants,1,5,5,4,8,6,8,8,4,4,2,2,2,3,3,2,8
2/22/2022 11:06:41,Egypt,Bank / Bank Consultants,8,1,5,2,5,14,6,8,1,14,6,5,15,4,6,13,2
2/22/2022 11:06:42,Egypt,Bank / Bank Consultants,12,1,4,1,3,1,1,5,6,12,13,13,7,13,16,12,14
2/22/2022 11:06:52,Egypt,Bank / Bank Consultants,1,3,4,4,3,2,4,6,4,5,4,3,3,6,4,4,7
2/22/2022 11:06:54,Egypt,Bank / Bank Consultants,6,1,3,4,2,3,4,3,2,5,3,2,4,2,4,2,3
2/22/2022 11:06:57,Egypt,Bank / Bank Consultants,6,2,1,3,3,4,2,2,2,6,4,3,2,2,2,4,3
2/22/2022 11:07:23,Egypt,Fintech / Digital Bank,17,1,1,1,3,1,1,3,1,5,1,4,1,1,1,1,1
2/22/2022 11:11:39,Egypt,Bank / Bank Consultants,11,8,6,4,5,4,9,14,5,5,13,4,3,3,4,3,3
2/22/2022 11:13:19,Egypt,Bank / Bank Consultants,6,4,3,4,7,6,3,2,1,2,8,8,6,14,9,6,5
2/22/2022 11:15:26,Egypt,Bank / Bank Consultants,25,3,6,7,8,1,1,2,10,9,14,2,4,4,7,7,7
2/22/2022 11:16:00,Egypt,Central Bank,29,3,4,3,3,3,3,14,2,3,2,4,3,1,2,2,2
2/22/2022 11:17:09,Egypt,Bank / Bank Consultants,9,1,1,3,14,4,2,1,14,2,9,15,3,14,14,11,5
2/22/2022 11:17:18,Egypt,Bank / Bank Consultants,28,9,2,2,8,2,2,8,8,2,2,9,2,2,9,2,2
2/22/2022 11:19:52,Egypt,Bank / Bank Consultants,3,3,2,5,8,3,2,1,12,9,13,9,2,15,9,9,15
2/22/2022 11:20:40,Egypt,Bank / Bank Consultants,12,1,2,4,8,4,5,2,2,8,8,5,4,2,8,2,9
2/22/2022 11:23:20,Egypt,Bank / Bank Consultants,12,3,4,4,5,6,3,4,3,7,10,11,4,5,5,7,9
2/22/2022 12:00:05,Spain ,Other,1,1,4,4,7,3,4,1,4,4,3,11,5,6,4,6,9
2/22/2022 12:11:14,Spain,Other,1,1,2,3,1,13,1,16,8,8,15,16,12,11,13,4,6
2/22/2022 12:11:50,Spain,Other,4,3,6,4,5,2,2,7,1,4,3,5,4,4,5,1,3
2/22/2022 12:39:33,Brasil,Fintech / Digital Bank,2,8,1,4,8,1,2,11,3,10,9,10,11,11,2,11,14
2/22/2022 13:05:41,Spain,Fintech / Digital Bank,3,4,1,2,5,3,2,3,1,3,3,6,2,7,3,5,3
2/22/2022 22:08:53,Ecuador,Bank / Bank Consultants,2,3,2,1,13,5,14,4,16,15,12,11,10,9,8,5,6
2/23/2022 14:40:34,Spain,Fintech / Digital Bank,8,2,2,2,3,4,3,3,3,5,3,2,2,2,2,5,2
2/23/2022 15:01:32,Spain,Fintech / Digital Bank,7,1,4,3,9,6,3,8,3,9,4,1,3,1,1,3,1
2/23/2022 15:38:05,Spain,Fintech / Digital Bank,6,1,6,2,1,3,1,3,1,1,4,3,1,1,2,1,2
2/23/2022 17:16:59,Spain,Fintech / Digital Bank,7,5,2,3,2,4,2,3,2,4,2,7,4,5,2,2,3
2/24/2022 9:29:04,spain,Other,15,13,16,8,1,8,10,14,14,6,6,2,15,1,1,3,1
2/24/2022 12:46:46,Turkey,Fintech / Digital Bank,2,14,2,5,3,6,1,4,7,9,7,1,8,10,7,11,7
2/24/2022 12:54:35,Spain,Other,1,2,3,4,6,5,1,7,8,11,13,14,12,15,16,10,9
2/24/2022 13:15:12,Turkey,Bank / Bank Consultants,2,7,8,8,14,13,14,13,13,14,14,12,13,14,13,15,11
2/24/2022 14:13:33,Spain,Fintech / Digital Bank,8,5,11,12,14,11,13,14,5,9,9,3,8,2,3,8,2
2/24/2022 23:21:45,Brasil,Fintech / Digital Bank,1,5,2,9,2,2,7,2,3,10,16,8,3,6,3,4,11
2/25/2022 7:56:36,Spain,Other,13,2,5,14,1,2,3,4,6,7,9,8,3,11,12,8,14
